No,Brand,Model Insurance,Model TLS,CC
185,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.5 MINI COACH 11 SEATS,Sprinter 519 CDI 10 Seats mini coach,3500
186,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.5 MINI COACH 14 SEATS,Sprinter 519 CDI 13 Seats mini coach,3500
187,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.5 MINI COACH 13 SEATS,Sprinter 519 CDI 13 Seats mini coach (Glide Rite Air Suspension on rear),3500
189,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.5 MINI COACH 16 SEATS,Sprinter 519 CDI 16 Seats mini coach,3500
190,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.5 MINI COACH 17 SEATS,Sprinter 519 CDI 16 Seats mini coach,3500
193,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.5 MINI COACH 7 SEATS,Sprinter 519 CDI 7 Seats mini coach,3500
194,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.5 MINI COACH 8 SEATS,Sprinter 519 CDI 7 Seats mini coach,3500
195,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.0 MINI COACH 11 SEATS,Sprinter 519 CDI mini coach 10 Seats + Driver,3000
198,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 3.0 MINI COACH 16 SEATS,Sprinter 519 CDI mini coach 15 Seats + Driver,3000
199,MERCEDES BENZ,MERCEDES-BENZ SPRINTER 2.2 MINI COACH 23 SEATS,Sprinter Elegance 516 CDI Euro 6 (22 + D),2200
200,MERCEDES BENZ,MERCEDES-BENZ VITO 2.2 4 Doors,Vito 116 Tourer SELECT Extra Long,2200
201,MERCEDES BENZ,MERCEDES-BENZ E300 2.0 4 Doors, E 300 e Avantgarde 2019,2000
202,MERCEDES BENZ,MERCEDES-BENZ GLE300 2.0 4 Doors, GLE 300 d 4MATIC AMG Dynamic 2019,2000
204,MERCEDES BENZ,MERCEDES-BENZ  E300 2.0 4 Doors, E 300 e Exclusive 2019,2000
205,MG,MG 3 1.5 4 Doors,3 Hatchback 1.5 D,1500
206,MG,MG 3 1.5 5 Doors,3 Hatchback 1.5 D,1500
208,MG,MG 5 1.5  4 Doors,5 1.5L X Sunroof,1500
209,MG,MG 6 1.8 4 Doors,6 Fastback 1.8 X-Turbo Sunroof,1800
213,MG,MG GS 2.0 4 Doors,GS 2.0T D 2WD,2000
215,MG,MG ZS 1.5  5 Doors,ZS 1.5L D,1500
216,NISSAN,NISSAN SYLPHY 1.6 4 Doors,SYLPHY 1.6L V CVT,1600
217,NISSAN,NISSAN TEANA 2.0 4 Doors,TEANA 2.0XL 2013,2000
219,NISSAN,NISSAN TEANA 2.5 4 Doors,TEANA 250 XV-V6 (Sunroof and Curtain Airbags),2500
220,SEMI-TRAILER,SEMI-TRAILER TRAILER,TRAILER,0
222,TOYOTA,TOYOTA FORTUNER 2.4 4 Doors,FORTUNER (4x4) 2.4 V A4,2400
224,TOYOTA,TOYOTA HILUX REVO 2.8 2 Doors, HILUX REVO Smart Cab 2.8 G 4x4 A4,2800
225,TOYOTA,TOYOTA HILUX REVO 2.4 4 Doors,HILUX REVO Double Cab Z Edition 2.4J Plus A6,2400
228,TOYOTA,TOYOTA HILUX REVO 2.4 2 Doors, HILUX REVO Smart Cab Z Edition 2.4 E A6,2400
231,TOYOTA,TOYOTA VIOS 1.5 4 Doors, VIOS 1.5 Entry  IMP'19 A2,1500
233,TOYOTA,TOYOTA ALPHARD 2.4 4 Doors,ALPHARD 2.4 HV,2400
237,TOYOTA,TOYOTA ALPHARD 2.5 4 Doors,ALPHARD 2.5 HV 2015,2500
241,TOYOTA,TOYOTA ALPHARD 3.5 4 Doors,ALPHARD 3.5 Q,3500
245,TOYOTA,TOYOTA COROLLA 1.6 4 Doors,ALTIS 1.6 E A/T CNG (Improvement) 2016,1600
256,TOYOTA,TOYOTA COROLLA 1.8 4 Doors,ALTIS 1.8 E 2012,1800
268,TOYOTA,TOYOTA COROLLA 2.0 4 Doors,ALTIS 2.0 V AUTO ABS/AIRBAG E20 MINOR CHANGE 10,2000
270,TOYOTA,TOYOTA AVANZA 1.5 5 Doors,AVANZA 1.5 E A/T,1500
272,TOYOTA,TOYOTA CAMRY 2.0 4 Doors,CAMRY 2.0 G (Improvement) 2016,2000
283,TOYOTA,TOYOTA CAMRY 2.4 4 Doors,CAMRY 2.4 G E20 MINOR CHANGE 09,2400
285,TOYOTA,TOYOTA CAMRY 2.5 4 Doors,CAMRY 2.5 G,2500
304,TOYOTA,TOYOTA CH-R 1.8 5 Doors,CH-R 1.8 HV HI B1,1800
306,TOYOTA,TOYOTA COMMUTER 3.0 3 Doors,FIRST CLASS COMMUTER 3.0 A/T (Diesel) 2014,3000
308,TOYOTA,TOYOTA COMMUTER 2.5 3 Doors,FIRST CLASS COMMUTER HI-ROOF,2500
318,TOYOTA,TOYOTA COMMUTER 2.8 3 Doors,COMMUTER HI-ROOF Diesel 2.8 AT 2019 B1 (Silver),2800
319,TOYOTA,TOYOTA FORTUNER 2.8 4 Doors,FORTUNER (4x4) 2.8 V A4,2800
324,TOYOTA,TOYOTA FORTUNER 2.5 4 Doors,FORTUNER 2.5 G A/T VN TURBO 2WD 2012,2500
326,TOYOTA,TOYOTA FORTUNER 2.7 4 Doors,FORTUNER 2.7 V 2WD Navi NEW MODEL 2015,2700
336,TOYOTA,TOYOTA FORTUNER 3.0 4 Doors,FORTUNER 3.0 V A/T 2WD MINOR CHANGE 2011,3000
348,TOYOTA,TOYOTA HIACE 3.0 3 Doors,HIACE 3.0 GL M/T (Diesel) 2014,3000
353,TOYOTA,TOYOTA HIACE 2.5 3 Doors,HIACE ECONOMY ECO 2.5 D4D ตู้ทึบ (Improvement) 2012,2500
360,TOYOTA,TOYOTA HIACE 2.8 3 Doors,HIACE Eco Panel Van Diesel 2.8 MT 2019 A1 (White),2800
374,TOYOTA,TOYOTA HILUX REVO 2.8 4 Doors,HILUX REVO D-CAB 2.8 G 4x4 (Im.) 2016,2800
435,TOYOTA,TOYOTA HILUX REVO 2.7 2 Doors,HILUX REVO SMART CAB 2.7 J Plus,2700
460,TOYOTA,TOYOTA HILUX VIGO 2.5 4 Doors,HILUX VIGO CHAMP D-CAB 2.5E A/T VN PRE (Im.2013),2500
468,TOYOTA,TOYOTA HILUX VIGO 2.7 4 Doors,HILUX VIGO CHAMP D-CAB 2.7E (Im.2013),2700
469,TOYOTA,TOYOTA HILUX VIGO 3.0 4 Doors,HILUX VIGO CHAMP D-CAB 3.0G 4WD Navi (Im.2013)Bi,3000
500,TOYOTA,TOYOTA HILUX VIGO 2.5 2 Doors,HILUX VIGO CHAMP SMART CAB 2.5 E,2500
517,TOYOTA,TOYOTA HILUX VIGO 2.7 2 Doors,HILUX VIGO CHAMP SMART CAB 2.7 J CNG PS 2012,2700
521,TOYOTA,TOYOTA HILUX VIGO 3.0 2 Doors,HILUX VIGO CHAMP SMART CAB 3.0 G 4WD,3000
562,TOYOTA,TOYOTA INNOVA 2.0 4 Doors,INNOVA 2.0 G A/T,2000
564,TOYOTA,TOYOTA LANDCRUISER PRADO 4.7 4 Doors,LAND CRUISER AX-G RHD A/T,4700
565,TOYOTA,TOYOTA LANDCRUISER  4.5 4 Doors,LAND CRUISER VX200 V8,4500
571,TOYOTA,TOYOTA PRIUS 1.8 4 Doors,PRIUS 1.8 Top grade 2012,1800
572,TOYOTA,TOYOTA VELLFIRE 2.5 4 Doors,VELLFIRE 2.5 V 2015,2500
576,TOYOTA,TOYOTA VENTURY 2.7 4 Doors,VENTURY 2.7 G A/T (Gasoline) 2014,2700
579,TOYOTA,TOYOTA VENTURY 3.0 4 Doors,VENTURY 3.0 G A/T (Diesel) 2014,3000
