"id","ClassCode","ClassIndex","Class","FullClass","Detail","TypeID","EngineSize","ClassYear","Gear","Drive","SeatPad","SideGlass","AirBag","CentalLock","FrontBrake","RearBrake","ABS","Protect","OilSize","OilType","BattID","TireID","RainID","DWidth","DLong","DHeight","Price","Pic1","Pic2","Pic3","Pic4","Comment","RateTrip","sDay","sWeek","sMonth","l12","l24","l36","l48","l60","sDay1","sWeek1","sMonth1","L121","L241","L361","L481","L601","sDay2","sWeek2","sMonth2","L122","L242","L362","L482","L602","CarSalePriceStandard","LastSalePrice","LastSaleDate","LastSaleRef","Active","safety","commentCar","carPrice","discountCarPrice","remainCarPrice","priceYear1","priceYear2","priceYear3","RankingRate"
21,"000-21-I",21,V8,JAGUAR DAIMLER V8,V8,16,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1900000.0000",2008-09-18 00:00:00.000,ภท 133,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
22,"000-22-I",22,XJ,JAGUAR XJ XJ,XJ,17,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1000000.0000",2011-09-21 00:00:00.000,ศร 6666,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
23,"000-23-I",23,K2700,KIA K2700 K2700,K2700,18,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","102000.0000",2019-05-21 00:00:00.000,ตร 4115,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
24,"000-24-I",24,"3 V8 HSE",LAND ROVER DISCOVERY 3 V8 HSE,"3 V8 HSE",19,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1070000.0000",2014-07-08 00:00:00.000,"3กฌ 6751",1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
25,"000-25-I",25,"460 Long Wheel Base",LEXUS LS 460 Long Wheel Base,"ชุดเครื่องเล่น DVD พร้อมจอด้านหลัง,เบาะด้านหลังซ้ายปรับเอียงนอนและปรับนวดได้",20,"4608.0000",2006,28,31,32,35,53,79,36,38,46,51,"84.0000",เบนซิน,0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1336449.0000",2017-06-14 00:00:00.000,วน 3838,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
26,"000-26-I",26,RX300,LEXUS RX300 RX300,"",21,"0.0000",2000,60104864,48,41,12,0,32,44,52713,52713,2097920,"0.0000","",0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","1401869.0000",2011-08-05 00:00:00.000,ษร 8717,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
27,"000-27-I",27,GT 2.4 MODEL 06,MITSUBISHI SPACE WAGON GT 2.4 MODEL 06,GT 2.4 MODEL 06,22,"2400.0000",2006,109,94861000,32,12,101,43009660,12,0,20,12047034,"0.0000","",0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","840000.0000",2012-03-01 00:00:00.000,ชว 6151,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
28,"000-28-I",28,GT 2.4 MODEL 05,MITSUBISHI SPACE WAGON GT 2.4 MODEL 05,GT 2.4 MODEL 05,22,"2400.0000",2005,109,94861000,32,12,101,43009660,12,0,20,12047034,"0.0000","",0,0,0,0,0,0,"0.0000","","","","","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","954000.0000",2010-08-27 00:00:00.000,ชถ 4710,1,"","","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
29,"000-29-I",29,"230 JS",NISSAN TEANA 230 JS,"230 JS",23,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","726000.0000",2011-11-04 00:00:00.000,ชย 1609,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
30,"000-30-I",30,"6 SE",RANGE ROVER  SPORT TDV 6 SE,"6 SE",24,"0.0000",2000,1000,1100,1200,1300,1400,1500,1600,1600,1700,1800,"0.0000",,0,0,0,0,0,0,"0.0000",,,,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","2336448.0000",2011-08-05 00:00:00.000,สฬ 1949,1,,,"0.0000","0.0000","0.0000","0.0000","0.0000","0.0000",50
