id,type,name,is_expressway
31,ทางพิเศษศรีรัช,ด่านฯ บางซื่อ 2,1
32,ทางพิเศษศรีรัช,ด่านฯ สาธุประดิษฐ์ 3,1
33,ทางพิเศษศรีรัช,ด่านฯ จันทน์,1
34,ทางพิเศษศรีรัช,ด่านฯ สาทร,1
35,ทางพิเศษศรีรัช,ด่านฯ สุรวงศ์,1
36,ทางพิเศษศรีรัช,ด่านฯ สะพานสว่าง,1
37,ทางพิเศษศรีรัช,ด่านฯ หัวลำโพง,1
38,ทางพิเศษศรีรัช,ด่านฯ อุรุพงษ์,1
39,ทางพิเศษศรีรัช,ด่านฯ ยมราช,1
40,ทางพิเศษศรีรัช,ด่านฯ พระราม ต,1
41,ทางพิเศษศรีรัช,ด่านฯ อโศก 4,1
42,ทางพิเศษศรีรัช,ด่านฯ ประชาชื่น (ขาออก),1
43,ทางพิเศษศรีรัช,ด่านฯ ประชาชื่น 1,1
44,ทางพิเศษศรีรัช,ด่านฯ ประชาชื่น 2,1
45,ทางพิเศษศรีรัช,ด่านฯ งามวงศ์วาน 1,1
46,ทางพิเศษศรีรัช,ด่านฯ งามวงศ์วาน 2,1
47,ทางพิเศษศรีรัช,ด่านฯ ประชาชื่น (ขาเข้า-นอกเมือง),1
48,ทางพิเศษศรีรัช,ด่านฯ อโศก 3,1
