"ClassTime_ID","DBCarClass_ID","Period_ID"
14684,161,43
14685,161,44
14686,161,45
14687,161,46
14688,161,47
14689,161,48
14690,161,50
14691,161,49
14692,161,51
14693,161,52
15141,18,4
15787,144,3
15788,144,5
15789,144,7
15790,144,9
15791,144,11
15792,144,13
15793,144,15
15794,144,17
15795,144,19
15796,144,21
15797,144,22
15798,144,23
15799,144,24
15800,144,25
15801,144,26
15802,144,27
15803,144,29
15804,144,30
15805,144,31
15806,144,32
15807,144,33
15808,144,34
15809,144,35
15810,144,36
15811,144,37
15812,144,38
15813,144,39
15814,144,40
15815,144,41
15816,144,42
15907,159,1
15908,159,3
15909,159,5
15910,159,7
15911,159,9
15912,159,11
15913,159,13
15914,159,15
15915,159,17
15916,159,19
15917,159,21
15918,159,22
15919,159,23
15920,159,24
15921,159,25
15922,159,26
15923,159,27
15924,159,29
15925,159,30
15926,159,31
15927,159,32
15928,159,33
15929,159,34
15930,159,35
15931,159,36
15932,159,37
15933,159,38
15934,159,39
15935,159,40
15936,159,41
15937,159,42
15938,159,43
15939,159,44
15940,159,45
15941,159,47
15942,159,46
15943,159,48
15944,159,49
15945,159,50
15946,159,51
15947,159,52
16101,18,2
16102,18,3
16103,18,5
16104,18,6
16105,18,7
16106,18,8
16107,18,9
16108,18,10
16109,18,11
16110,18,12
16111,18,13
16112,18,14
16113,18,16
16114,18,17
16115,18,18
16116,18,19
16117,18,20
16118,18,21
16319,140,3
16320,140,5
16321,140,7
16322,140,9
16323,140,11
16324,140,13
16325,140,15
16326,140,17
16327,140,19
16328,140,21
16329,140,22
16330,140,23
16331,140,24
16332,140,25
16333,140,26
16334,140,27
16335,140,29
16336,140,30
16337,140,31
16338,140,32
16339,140,33
16340,140,34
16341,140,35
16342,140,36
16343,140,37
16344,140,38
16345,140,39
16346,140,40
16347,140,41
16348,140,42
16349,140,43
16350,140,44
16351,140,45
16352,140,46
16353,140,47
16354,140,48
16355,140,49
16356,140,50
16357,140,51
16358,140,52
16399,165,3
16400,165,5
16401,165,7
16402,165,9
16403,165,11
16404,165,13
16405,165,15
16406,165,17
16407,165,19
16408,165,21
16409,165,22
16410,165,23
16411,165,24
16412,165,25
16413,165,26
16414,165,27
16415,165,29
16416,165,30
16417,165,31
16418,165,32
16419,165,33
16420,165,34
16421,165,35
16422,165,36
16423,165,37
16424,165,38
16425,165,39
16426,165,40
16427,165,41
16428,165,42
16429,165,43
16430,165,44
16431,165,45
16432,165,46
16433,165,47
16434,165,48
16435,165,49
16436,165,50
16437,165,51
16438,165,52
16559,48,3
16560,48,5
16561,48,7
16562,48,9
16563,48,11
16564,48,13
16565,48,15
16566,48,17
16567,48,19
16568,48,21
16569,48,22
16570,48,23
16571,48,24
16572,48,25
16573,48,26
16574,48,27
16575,48,29
16576,48,30
16577,48,31
16578,48,32
16579,48,33
16580,48,34
16581,48,35
16582,48,36
16583,48,37
16584,48,38
16585,48,39
16586,48,40
16587,48,41
16588,48,42
16589,48,43
16590,48,44
16591,48,45
16592,48,46
16593,48,47
16594,48,48
16595,48,49
16596,48,50
16597,48,51
16598,48,52
16599,53,3
16600,53,5
16601,53,7
16602,53,9
16603,53,11
16604,53,13
16605,53,15
16606,53,17
16607,53,19
16608,53,21
16609,53,22
16610,53,23
16611,53,24
16612,53,25
16613,53,26
16614,53,27
16615,53,29
16616,53,30
16617,53,31
16618,53,32
16619,53,33
16620,53,34
16621,53,35
16622,53,36
16623,53,37
16624,53,38
16625,53,39
16626,53,40
16627,53,41
16628,53,42
