branch_name,location_name,can_origin,can_stopover,can_destination
Chiang Mai Branch,สถานีรถไฟเชียงใหม่,1,1,1
Chiang Mai Branch,สถานีขนส่งเชียงใหม่ (อาเขต),1,1,1
Chiang Mai Branch,เซ็นทรัล เฟสติวัล เชียงใหม่,1,1,1
Chiang Mai Branch,จอมทอง,1,1,1
Chiang Mai Branch,แม่แจ่ม,1,1,1
Chiang Mai Branch,เชียงดาว,1,1,1
Chiang Mai Branch,ดอยสะเก็ด,1,1,1
Chiang Mai Branch,แม่แตง,1,1,1
Chiang Mai Branch,แม่ริม,1,1,1
Chiang Mai Branch,สะเมิง,1,1,1
Chiang Mai Branch,ฝาง,1,1,1
Chiang Mai Branch,แม่อาย,1,1,1
Chiang Mai Branch,พร้าว,1,1,1
Chiang Mai Branch,สันป่าตอง,1,1,1
Chiang Mai Branch,สันกำแพง,1,1,1
Chiang Mai Branch,สันทราย,1,1,1
Chiang Mai Branch,หางดง,1,1,1
Chiang Mai Branch,ฮอด,1,1,1
Chiang Mai Branch,ดอยเต่า,1,1,1
Chiang Mai Branch,อมก๋อย,1,1,1
Chiang Mai Branch,สารภี,1,1,1
Chiang Mai Branch,เวียงแหง,1,1,1
Chiang Mai Branch,ไชยปราการ,1,1,1
Chiang Mai Branch,แม่วาง,1,1,1
Chiang Mai Branch,แม่ออน,1,1,1
Chiang Mai Branch,ดอยหล่อ,1,1,1
Chiang Mai Branch,กัลยาณิวัฒนา,1,1,1
Chiang Mai Branch,เมืองลำพูน,1,1,1
Chiang Mai Branch,เมืองลำปาง,1,1,1
Chiang Mai Branch,เมืองอุตรดิตถ์,1,1,1
Chiang Mai Branch,เมืองแพร่,1,1,1
Chiang Mai Branch,เมืองน่าน,1,1,1
Chiang Mai Branch,เมืองพะเยา,1,1,1
Chiang Mai Branch,เมืองเชียงราย,1,1,1
Chiang Mai Branch,สนามบินเชียงราย,1,1,1
Chiang Mai Branch,เมืองแม่ฮ่องสอน,1,1,1
Chiang Mai Branch,เมืองนครสวรรค์,1,1,1
Chiang Mai Branch,เมืองอุทัยธานี,1,1,1
Chiang Mai Branch,เมืองกำแพงเพชร,1,1,1
Chiang Mai Branch,เมืองตาก,1,1,1
Chiang Mai Branch,เมืองสุโขทัย,1,1,1
Chiang Mai Branch,เมืองพิษณุโลก,1,1,1
Chiang Mai Branch,เมืองพิจิตร,1,1,1
Chiang Mai Branch,เมืองเพชรบูรณ์,1,1,1
Chiang Mai Branch,เมืองราชบุรี,1,1,1
Chiang Mai Branch,เมืองกาญจนบุรี,1,1,1
Chiang Mai Branch,เมืองสุพรรณบุรี,1,1,1
Chiang Mai Branch,เมืองนครปฐม,1,1,1
Chiang Mai Branch,เมืองสมุทรสาคร,1,1,1
Chiang Mai Branch,เมืองสมุทรสงคราม,1,1,1
Chiang Mai Branch,เมืองเพชรบุรี,1,1,1
Chiang Mai Branch,เมืองประจวบคีรีขันธ์,1,1,1
Chiang Mai Branch,หัวหิน,1,1,1
Chiang Mai Branch,เมืองนครศรีธรรมราช,1,1,1
Chiang Mai Branch,เมืองกระบี่,1,1,1
Chiang Mai Branch,เมืองพังงา,1,1,1
Chiang Mai Branch,เมืองภูเก็ต,1,1,1
Chiang Mai Branch,กะทู้,1,1,1
Chiang Mai Branch,ถลาง,1,1,1
Chiang Mai Branch,สนามบินภูเก็ต,1,1,1
Chiang Mai Branch,เมืองสุราษฎร์ธานี,1,1,1
Chiang Mai Branch,เมืองระนอง,1,1,1
Chiang Mai Branch,เมืองชุมพร,1,1,1
Chiang Mai Branch,เมืองสงขลา,1,1,1
Chiang Mai Branch,เมืองสตูล,1,1,1
Chiang Mai Branch,เมืองตรัง,1,1,1
Chiang Mai Branch,เมืองพัทลุง,1,1,1
Chiang Rai Branch,พื้นที่เขตชั้นใน,1,1,1
Chiang Rai Branch,สนามบินสุวรรณภูมิ,1,1,1
Chiang Rai Branch,สนามบินดอนเมือง,1,1,1
Chiang Rai Branch,ทรู ลีสซิ่งสาขาลาดกระบัง,1,1,1
Chiang Rai Branch,บางบ่อ,1,1,1
Chiang Rai Branch,บางพลี,1,1,1
Chiang Rai Branch,พระประแดง,1,1,1
Chiang Rai Branch,พระสมุทรเจดีย์,1,1,1
Chiang Rai Branch,บางเสาธง,1,1,1
Chiang Rai Branch,เมืองนนทบุรี,1,1,1
Chiang Rai Branch,เมืองปทุมธานี,1,1,1
Chiang Rai Branch,พระนครศรีอยุธยา,1,1,1
Chiang Rai Branch,เมืองอ่างทอง,1,1,1
Chiang Rai Branch,เมืองลพบุรี,1,1,1
Chiang Rai Branch,เมืองสิงห์บุรี,1,1,1
Chiang Rai Branch,อินทร์บุรี,1,1,1
Chiang Rai Branch,เมืองชัยนาท,1,1,1
Chiang Rai Branch,เมืองสระบุรี,1,1,1
Chiang Rai Branch,เมืองชลบุรี,1,1,1
Chiang Rai Branch,เมืองระยอง,1,1,1
Chiang Rai Branch,เมืองจันทบุรี,1,1,1
Chiang Rai Branch,เมืองตราด,1,1,1
Chiang Rai Branch,เมืองฉะเชิงเทรา,1,1,1
Chiang Rai Branch,เมืองปราจีนบุรี,1,1,1
Chiang Rai Branch,เมืองนครนายก,1,1,1
Chiang Rai Branch,เมืองสระแก้ว,1,1,1
Chiang Rai Branch,เขาใหญ่,1,1,1
Chiang Rai Branch,เมืองบุรีรัมย์,1,1,1
Chiang Rai Branch,เมืองสุรินทร์,1,1,1
Chiang Rai Branch,เมืองศรีสะเกษ,1,1,1
Chiang Rai Branch,เมืองอุบลราชธานี,1,1,1
Chiang Rai Branch,เมืองยโสธร,1,1,1
Chiang Rai Branch,เมืองชัยภูมิ,1,1,1
Chiang Rai Branch,เมืองอำนาจเจริญ,1,1,1
Chiang Rai Branch,เมืองบึงกาฬ,1,1,1
Chiang Rai Branch,เมืองหนองบัวลำภู,1,1,1
Chiang Rai Branch,เมืองขอนแก่น,1,1,1
Chiang Rai Branch,เมืองอุดรธานี,1,1,1
Chiang Rai Branch,เมืองเลย,1,1,1
Chiang Rai Branch,เมืองหนองคาย,1,1,1
Chiang Rai Branch,เมืองมหาสารคาม,1,1,1
Chiang Rai Branch,เมืองร้อยเอ็ด,1,1,1
Chiang Rai Branch,เมืองกาฬสินธุ์,1,1,1
Chiang Rai Branch,เมืองสกลนคร,1,1,1
Chiang Rai Branch,เมืองนครพนม,1,1,1
Chiang Rai Branch,เมืองมุกดาหาร,1,1,1
Chiang Rai Branch,เมืองเชียงใหม่,1,1,1
Chiang Rai Branch,สนามบินเชียงใหม่,1,1,1
Chiang Rai Branch,สถานีรถไฟเชียงใหม่,1,1,1
Chiang Rai Branch,สถานีขนส่งเชียงใหม่ (อาเขต),1,1,1
Chiang Rai Branch,เซ็นทรัล เฟสติวัล เชียงใหม่,1,1,1
Chiang Rai Branch,จอมทอง,1,1,1
Chiang Rai Branch,แม่แจ่ม,1,1,1
Chiang Rai Branch,เชียงดาว,1,1,1
Chiang Rai Branch,ดอยสะเก็ด,1,1,1
Chiang Rai Branch,แม่แตง,1,1,1
Chiang Rai Branch,แม่ริม,1,1,1
Chiang Rai Branch,สะเมิง,1,1,1
Chiang Rai Branch,ฝาง,1,1,1
Chiang Rai Branch,แม่อาย,1,1,1
Chiang Rai Branch,พร้าว,1,1,1
Chiang Rai Branch,สันป่าตอง,1,1,1
Chiang Rai Branch,สันกำแพง,1,1,1
Chiang Rai Branch,สันทราย,1,1,1
Chiang Rai Branch,หางดง,1,1,1
Chiang Rai Branch,ฮอด,1,1,1
Chiang Rai Branch,ดอยเต่า,1,1,1
Chiang Rai Branch,อมก๋อย,1,1,1
Chiang Rai Branch,สารภี,1,1,1
Chiang Rai Branch,เวียงแหง,1,1,1
Chiang Rai Branch,ไชยปราการ,1,1,1
Chiang Rai Branch,แม่วาง,1,1,1
Chiang Rai Branch,แม่ออน,1,1,1
Chiang Rai Branch,ดอยหล่อ,1,1,1
Chiang Rai Branch,กัลยาณิวัฒนา,1,1,1
Chiang Rai Branch,เมืองลำพูน,1,1,1
Chiang Rai Branch,เมืองลำปาง,1,1,1
