id,name,driver_wage_category_id,is_standard,wage_cal_type,wage_cal_day,wage_cal_time,is_special_wage,service_type_id,seq,status,created_at,updated_at,deleted_at,created_by,updated_by,deleted_by
7a5b32d4-1f36-206e-d6ac-38b4ca6f24ec,(เชียงใหม่-เชียงราย) รถทดแทน-ส่วนกลาง - ประกันค่าเที่ยว,พขร - ประกันค่าเที่ยว,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
830c742b-39c1-12f8-c67a-9514c912e4e8,(ภูเก็ต) รถทดแทน-ส่วนกลาง - ค่าบริการเพิ่มเติม (ข้อ 1),พขร - ค่าบริการเพิ่มเติม (ข้อ 1),1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
993aa42b-2242-459f-875b-193d726d9322,(กทม) รถทดแทน-ส่วนกลาง - ค่าทำงานในวันหยุด,พขร - ค่าทำงานในวันหยุด,1,PER_DAY,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:03:34,2023-05-22 23:03:34,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
993aa457-a831-49c0-b321-0b67552dd56c,(กทม) รถทดแทน-ส่วนกลาง - ค่าที่พักต่างจังหวัดกรณีไปค้างคืน,พขร - ค่าที่พักต่างจังหวัดกรณีไปค้างคืน,1,PER_DAY,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:04:03,2023-05-22 23:04:03,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
993aa475-6d1c-4e68-b4e3-306995574e66,(กทม) รถทดแทน-ส่วนกลาง - ค่าบริการดี,พขร - ค่าบริการดี,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:04:23,2023-05-22 23:04:23,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
993aa4b0-77af-44c3-bd03-1bd6c688a5f8,(กทม) รถทดแทน-ส่วนกลาง - ค่าบริการเพิ่มเติม(ข้อ 1),พขร - ค่าบริการเพิ่มเติม(ข้อ 1),1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:05:01,2023-05-22 23:05:01,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
993aa4d3-f69e-4aba-a15e-7aa5aaad15a0,(กทม) รถทดแทน-ส่วนกลาง - ค่าบริการเพิ่มเติม(ข้อ 2-5),พขร - ค่าบริการเพิ่มเติม(ข้อ 2-5),1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:05:25,2023-05-22 23:05:25,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
993aa4eb-fdd3-43fe-a778-045d407d75ba,(กทม) รถทดแทน-ส่วนกลาง - ค่าประกันเที่ยว,พขร - ค่าประกันเที่ยว,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:05:40,2023-05-22 23:05:40,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
993aa507-365c-40bd-a87d-1d05b8c189f8,(กทม) รถทดแทน-ส่วนกลาง - ค่าเที่ยว,พขร - ค่าเที่ยว,1,PER_TRIP,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:05:58,2023-05-22 23:05:58,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
993aa520-42b7-4a56-8c3f-61f96e942946,(กทม) รถทดแทน-ส่วนกลาง - เงินเดือน,พขร - เงินเดือน,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:06:15,2023-05-22 23:06:15,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
9a2c2e9d-679c-51a9-6810-7df6807e03cb,(เชียงใหม่-เชียงราย) รถทดแทน-ส่วนกลาง - ค่าบริการเพิ่มเติม (ข้อ 1),พขร - ค่าบริการเพิ่มเติม (ข้อ 1),1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
9ea0e4a1-4f55-fbe7-b657-5746e3b62a53,(ภูเก็ต) รถทดแทน-ส่วนกลาง - ค่าเที่ยว,พขร - ค่าเที่ยว,1,PER_TRIP,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
b7e48e35-3bf8-fcca-2567-405c7a140475,(เชียงใหม่-เชียงราย) รถทดแทน-ส่วนกลาง - ค่าเที่ยว,พขร - ค่าเที่ยว,1,PER_TRIP,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
bbe07d39-b899-8cb3-b61c-43f7828353cc,(เชียงใหม่-เชียงราย) รถทดแทน-ส่วนกลาง - ค่าภาษา,พขร - ค่าภาษา,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
d075abaf-2c48-e377-a8ef-00fb7868e5cd,(ภูเก็ต) รถทดแทน-ส่วนกลาง - ค่าบริการเพิ่มเติม (ข้อ 2-5),พขร - ค่าบริการเพิ่มเติม (ข้อ 2-5),1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
f2e585ed-ebab-00a3-5834-bebacd346432,(ภูเก็ต) รถทดแทน-ส่วนกลาง - เงินเดือน,พขร - เงินเดือน,1,PER_MONTH,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
f3c7c838-98ce-b602-1c28-0b9cd786e406,(ภูเก็ต) รถทดแทน-ส่วนกลาง - ค่าที่พักต่างจังหวัดกรณีไปค้างคืน,พขร - ค่าที่พักต่างจังหวัดกรณีไปค้างคืน,1,PER_DAY,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
f85596cf-8389-fd8e-1bd8-b1d8e997d87e,(เชียงใหม่-เชียงราย) รถทดแทน-ส่วนกลาง - ค่าที่พักต่างจังหวัดกรณีไปค้างคืน,พขร - ค่าที่พักต่างจังหวัดกรณีไปค้างคืน,1,PER_DAY,ALL,ALL,0,เช่าขับเอง,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
07d33ff1-52a6-0001-9521-2275277aab01,(เชียงใหม่-เชียงราย) รถสไลด์ - ค่าที่พักต่างจังหวัดกรณีไปค้างคืน,พขร - ค่าที่พักต่างจังหวัดกรณีไปค้างคืน,1,PER_DAY,ALL,ALL,0,รถสไลด์,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
1b04e6fd-f000-9517-864d-ad22e2417e01,(ภูเก็ต) รถสไลด์ - เงินเดือน,พขร - เงินเดือน,1,PER_MONTH,ALL,ALL,0,รถสไลด์,100,1,2023-05-22 23:16:16,2023-05-22 23:16:16,NULL,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,97c792f9-e0c0-44d5-8ce2-f2ccf54b49d7,NULL
